詞彙,漢語拼音,詞類
計,jì ,Vst
暨,jì ,Conj
繼承,jìchéng ,Vpt
季風,jìfēng ,N
劑量,jìliàng ,N
紀律,jìlǜ,N
技能,jìnéng ,N
技藝,jìyì ,N
祭祀,jìsì ,V
傢伙(ㄏㄨㄛ˙),jiāhuo,N
家家戶戶,jiājiāhùhù ,N
家電,jiādiàn ,N
家屬,jiāshŭ ,N
佳節,jiājié ,N
佳人,jiārén ,N
加緊,jiājǐn ,V
加快,jiākuài ,V
加薪,jiāxīn ,V-sep
加以,jiāyǐ ,Adv
加重,jiāzhòng ,V
枷鎖,jiāsuǒ ,N
夾雜,jiázá ,Vpt
假,jiǎ ,Prep
假若,jiăruò ,Conj
假使,jiăshǐ ,Conj
假象,jiăxiàng ,N
架,jià ,V
架(子),jià(zi),N
架構,jiàgòu ,N
假期,jiàqí ,N
煎,jiān ,V
監督,jiāndū ,V
尖端,jiānduān ,Vs-attr
堅固,jiāngù ,Vs
堅忍,jiānrěn ,Vs
堅信,jiānxìn ,Vst
堅硬,jiānyìng ,Vs
兼職,jiānzhí ,Vi
